Date,Close,source,pred_top,pred_bot,label_top,label_bot,cal_top_prob,cal_bot_prob
2020-01-09,9203.4296875,nasdaq,0.16640856435246035,0.2905074774055009,0.022374579372062057,0.0,0.1490866234531526,0.11360278139939158
2020-01-10,9178.8603515625,nasdaq,0.1002715110271623,0.05382666829566386,0.033546262790251184,0.0,0.1490866234531526,0.11360278139939158
2020-01-13,9273.9296875,nasdaq,-0.3352958334475123,0.17715746193982623,0.10647662366679204,0.0,0.09730644478916937,0.11360278139939158
2020-01-14,9251.330078125,nasdaq,0.14837298066983504,-0.08244264259181824,0.1533810679324463,0.0,0.1490866234531526,0.11360278139939158
2020-01-15,9258.7001953125,nasdaq,-0.05788718544080587,-0.2750517191208238,0.21874911181828852,0.0,0.09730644478916937,0.11360278139939158
2020-01-16,9357.1298828125,nasdaq,0.45862533868617467,0.3278960279119999,0.30887154082367685,0.0,0.1490866234531526,0.11360278139939158
2020-01-17,9388.9404296875,nasdaq,0.6392124423738494,0.4609661443751162,0.4317840007633078,0.0,0.1490866234531526,0.11360278139939158
2020-01-21,9370.8095703125,nasdaq,1.406443874598486,0.20984369361402783,1.4920786069067842,0.0,0.1490866234531526,0.11360278139939158
2020-01-22,9383.76953125,nasdaq,1.687924117834688,-0.027302000649805175,1.9841094744370287,0.0,0.1490866234531526,0.11360278139939158
2020-01-23,9402.48046875,nasdaq,3.092145691810045,-0.03344698334542458,2.6121409853918234,0.0,0.1490866234531526,0.11360278139939158
2020-01-24,9314.91015625,nasdaq,2.959141881463093,-0.18969681943390848,3.4047454734599345,0.0,0.1490866234531526,0.11360278139939158
2020-01-27,9139.3095703125,nasdaq,7.185019294360543,-0.19458928114931476,7.100535373963698,0.0,0.1490866234531526,0.11360278139939158
2020-01-28,9269.6796875,nasdaq,8.79171120790851,-0.3563599348374925,8.892161745938635,0.0,0.1490866234531526,0.11360278139939158
2020-01-29,9275.16015625,nasdaq,11.07594712987058,-0.19033847840698656,11.025052530448521,0.0,0.1490866234531526,0.11360278139939158
2020-01-30,9298.9296875,nasdaq,13.358412246168085,0.09411116007422474,13.53352832366127,0.0,0.1490866234531526,0.11360278139939158
2020-01-31,9150.9404296875,nasdaq,16.30292241296459,0.23704283308584606,16.44744565771549,0.0,0.1490866234531526,0.11360278139939158
2020-02-03,9273.400390625,nasdaq,27.681840614584374,-0.8006069363221517,27.803730045319412,0.0,0.1490866234531526,0.11360278139939158
2020-02-04,9467.9697265625,nasdaq,32.52193939100301,-0.06178433120953032,32.465246735834974,0.0,0.1490866234531526,0.11360278139939158
2020-02-05,9508.6796875,nasdaq,37.3938660650483,0.48665565563268737,37.531109885139955,0.0,0.15223880597014924,0.11360278139939158
2020-02-06,9572.150390625,nasdaq,43.18312860232993,0.9011972686236774,42.955735821073915,0.0,0.15223880597014924,0.11360278139939158
2020-02-07,9520.509765625,nasdaq,48.641133100192185,0.06087624892066222,48.67522559599717,0.004006529739295107,0.22981366459627328,0.11360278139939158
2020-02-10,9628.3896484375,nasdaq,66.50567774818641,0.21508525699283973,66.69768108584744,0.014774836023203364,0.2352941176470588,0.11360278139939158
2020-02-11,9638.9404296875,nasdaq,72.58215885379363,-0.016715568009977838,72.6149037073691,0.022374579372062057,0.2352941176470588,0.11360278139939158
2020-02-12,9725.9599609375,nasdaq,78.04857677266129,0.08988458020656125,78.27045382418682,0.033546262790251184,0.5285714285714286,0.11360278139939158
2020-02-13,9711.9697265625,nasdaq,83.4839948877204,-0.13429433697846613,83.5270211411272,0.049795542150327346,0.5285714285714286,0.11360278139939158
2020-02-14,9731.1796875,nasdaq,88.1584951441392,0.09210443411411279,88.24969025845955,0.07318024188804728,0.5285714285714286,0.11360278139939158
2020-02-18,9732.740234375,nasdaq,99.52958111978081,0.20061166558503665,99.50124791926824,0.30887154082367685,0.5285714285714286,0.11360278139939158
2020-02-19,9817.1796875,nasdaq,99.88811987776566,0.26643201318391085,100.0,0.4317840007633078,0.5285714285714286,0.11360278139939158
2020-02-20,9750.9697265625,nasdaq,0.5541901025601146,1.2535386329166727,0.0,0.5976022895005942,0.1490866234531526,0.11360278139939158
2020-02-21,9576.58984375,nasdaq,-2.234469448967439,0.6588009151680358,0.0,0.8188701014374083,0.09730644478916937,0.11360278139939158
2020-02-24,9221.2802734375,nasdaq,2.281152353744948,1.9989861968377305,0.0,1.9841094744370287,0.1490866234531526,0.11360278139939158
2020-02-25,8965.6103515625,nasdaq,1.827450709441956,2.6093553858694176,0.0,2.6121409853918234,0.1490866234531526,0.11360278139939158
2020-02-26,8980.7802734375,nasdaq,0.14516997368132695,3.330023321313484,0.0,3.4047454734599345,0.1490866234531526,0.11360278139939158
2020-02-27,8566.48046875,nasdaq,0.15537310170261626,4.5327337589198695,0.0,4.393693362340742,0.1490866234531526,0.11360278139939158
2020-02-28,8567.3701171875,nasdaq,0.3256833137338984,5.536367084606753,0.0,5.613476283413372,0.1490866234531526,0.11360278139939158
2020-03-02,8952.169921875,nasdaq,-0.006129577530088404,11.04671499825472,0.0,11.025052530448521,0.09730644478916937,0.11360278139939158
2020-03-03,8684.08984375,nasdaq,0.08692351333940528,13.614079398064922,0.0,13.53352832366127,0.1490866234531526,0.13095238095238096
2020-03-04,9018.08984375,nasdaq,-0.5439210799240751,16.292690519183008,0.0,16.44744565771549,0.09730644478916937,0.13095238095238096
2020-03-05,8738.58984375,nasdaq,-0.12644061735933906,19.856222850566464,0.0,19.789869908361464,0.09730644478916937,0.13095238095238096
2020-03-06,8575.6201171875,nasdaq,0.06885804672313602,23.876481206929355,0.0,23.57460765558635,0.1490866234531526,0.17613636363636365
2020-03-09,7950.68017578125,nasdaq,0.2545116181339987,37.41145560318769,0.0,37.531109885139955,0.1490866234531526,0.17613636363636365
2020-03-10,8344.25,nasdaq,0.14467033551774902,43.044383794966684,0.0,42.955735821073915,0.1490866234531526,0.22857142857142856
2020-03-11,7952.0498046875,nasdaq,0.2062815970638975,48.56284060293334,0.0,48.67522559599717,0.1490866234531526,0.4303030303030303
2020-03-12,7201.7998046875,nasdaq,-0.41135236866061303,54.53810816572868,0.0,54.60744266397094,0.09730644478916937,0.4303030303030303
2020-03-13,7874.8798828125,nasdaq,-0.16089906332414086,60.60817006137,0.0,60.653065971263345,0.09730644478916937,0.4303030303030303
2020-03-16,6904.58984375,nasdaq,-0.2785950897402759,78.28260119915453,0.0,78.27045382418682,0.09730644478916937,0.4303030303030303
2020-03-17,7334.77978515625,nasdaq,0.26595193296196457,83.4526147749271,0.0,83.5270211411272,0.1490866234531526,0.4303030303030303
2020-03-18,6989.83984375,nasdaq,0.24105983338711173,88.15580583677487,0.0,88.24969025845955,0.1490866234531526,0.4303030303030303
2020-03-19,7150.580078125,nasdaq,-0.5425368179062126,92.29998504112903,0.0,92.31163463866358,0.09730644478916937,1.0
2020-03-20,6879.52001953125,nasdaq,0.26181627199839236,95.53715184937019,0.0,95.59974818331,0.1490866234531526,1.0
2020-03-23,6860.669921875,nasdaq,-0.20753008612963286,99.8282893587121,0.0,100.0,0.09730644478916937,1.0
2020-03-24,7417.85986328125,nasdaq,-0.159140272792689,3.0161367549447378,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-03-25,7384.2998046875,nasdaq,0.14282018387366388,1.133090645690736,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-03-26,7797.5400390625,nasdaq,-0.617036845794574,-0.9470097502738051,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-03-27,7502.3798828125,nasdaq,-0.12773547222133172,0.9003711731179991,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-03-30,7774.14990234375,nasdaq,0.19632586393644239,0.18144583741229403,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-03-31,7700.10009765625,nasdaq,0.6551380261496483,-0.6305251014684998,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-04-01,7360.580078125,nasdaq,0.190984908527435,1.1704005369187893,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-04-02,7487.31005859375,nasdaq,-0.5613415292899374,1.2107487191936888,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-04-03,7373.080078125,nasdaq,0.06835556492524934,-0.38190145598111563,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-04-06,7913.240234375,nasdaq,-0.47535471813851027,-0.9880436041277274,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-04-07,7887.259765625,nasdaq,0.11252299426217556,0.671476532940098,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-04-08,8090.89990234375,nasdaq,-0.23404572155989167,-0.1433180630721374,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-04-09,8153.580078125,nasdaq,0.06719903775268048,-0.0018294738430567796,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-04-13,8192.419921875,nasdaq,0.21529304558860093,0.14652940998401587,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-04-14,8515.740234375,nasdaq,-0.3212304473036506,0.23871584918953193,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-04-15,8393.1796875,nasdaq,-0.41770937717424317,0.5529632437472796,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-04-16,8532.3603515625,nasdaq,-0.03508513702897734,0.5980746890802148,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-04-17,8650.1396484375,nasdaq,-0.4639626230914042,-0.44757639464005433,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-04-20,8560.73046875,nasdaq,-0.07185491675115481,-0.29257660640134636,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-04-21,8263.23046875,nasdaq,-0.36116132654383715,1.3379012018250014,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-04-22,8495.3798828125,nasdaq,0.0439172701893993,0.3645987754335288,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-04-23,8494.75,nasdaq,-0.25224466893259956,0.03202151354083383,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-04-24,8634.51953125,nasdaq,-0.0903542243697404,-0.06992720876684355,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-04-27,8730.16015625,nasdaq,0.211284573526986,-0.008043467159825294,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-04-28,8607.73046875,nasdaq,0.20241174900328687,-0.10728991906467374,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-04-29,8914.7099609375,nasdaq,-0.826941983556771,-0.8322766311451724,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-04-30,8889.5498046875,nasdaq,0.02395540916536042,-0.7965935238681456,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-05-01,8604.9501953125,nasdaq,-0.3277691453011944,-0.2852982209326203,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-05-04,8710.7099609375,nasdaq,0.06682299718321309,0.45801300191198085,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-05-05,8809.1201171875,nasdaq,0.27585793632307476,-0.4595036494760032,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-05-06,8854.3896484375,nasdaq,0.29369932307325514,-0.376688027842538,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-05-07,8979.66015625,nasdaq,0.23820710551671667,0.03826328139094085,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-05-08,9121.3203125,nasdaq,-0.17832282974797914,-0.28042895713305804,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-05-11,9192.33984375,nasdaq,1.2341451083362402,0.2811933181105423,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-05-12,9002.5498046875,nasdaq,0.14066771216591908,-0.23241205089991426,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-05-13,8863.169921875,nasdaq,-0.14930751043275187,0.8711493200581399,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-05-14,8943.7197265625,nasdaq,0.109701191377372,-0.3544672097614849,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-05-15,9014.5595703125,nasdaq,-0.27037998305940997,-0.30464551637746756,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-05-18,9234.830078125,nasdaq,-0.21489445407745594,-0.5147767050887725,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-05-19,9185.099609375,nasdaq,-0.026323402758531532,0.00437225546661073,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-05-20,9375.7802734375,nasdaq,-0.4647807507821904,-0.16398813639366583,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-05-21,9284.8798828125,nasdaq,-0.0300892967893895,0.7288742378506483,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-05-22,9324.58984375,nasdaq,-0.851181312915659,0.8511900216261398,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-05-26,9340.2197265625,nasdaq,-0.1981298440094492,-0.24651227141035123,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-05-27,9412.3603515625,nasdaq,-0.26531581155373885,-0.3272350986732119,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-05-28,9368.990234375,nasdaq,-0.29882643679299264,0.106945604726684,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-05-29,9489.8701171875,nasdaq,0.2135971544162644,-0.0721274503938796,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-06-01,9552.0498046875,nasdaq,-0.15633250455268569,0.3536430371526099,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-06-02,9608.3798828125,nasdaq,0.21132277115807843,0.11518133248131728,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-06-03,9682.91015625,nasdaq,-0.38172746908405525,-0.2849974916209839,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-06-04,9615.8095703125,nasdaq,-1.0015835859717928,0.20549367893404635,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-06-05,9814.080078125,nasdaq,-0.9062192981383366,0.06187570974150888,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-06-08,9924.75,nasdaq,1.2626206589878577,-0.16720005494323495,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-06-09,9953.75,nasdaq,0.32532176849986205,-0.3797291557157499,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-06-10,10020.349609375,nasdaq,0.26601034592962935,0.10778742918734949,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-06-12,9588.8095703125,nasdaq,-0.20933081684940277,-0.5255348914824164,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-06-15,9726.01953125,nasdaq,-0.48114925868891956,0.08906898874108254,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-06-16,9895.8701171875,nasdaq,0.1751117038244605,-0.01824804540237645,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-06-17,9910.5302734375,nasdaq,0.0649239159500018,0.05778511937927821,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-06-18,9943.0498046875,nasdaq,0.27589768934229525,-0.670647634352849,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-06-19,9946.1201171875,nasdaq,-0.06939884689100209,0.34915226818713613,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-06-22,10056.48046875,nasdaq,0.7942298665383195,0.21162573531269743,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-06-23,10131.3701171875,nasdaq,0.06645233478595887,-0.38645854353855513,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-06-24,9909.169921875,nasdaq,-0.6522771824609612,0.35181323671836817,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-06-25,10017.0,nasdaq,-0.740328577918797,-0.059424774136480535,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-06-26,9757.2197265625,nasdaq,-1.0657573526078457,-1.3407849483198033,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-06-29,9874.150390625,nasdaq,0.03339811288696336,-0.1375419093199866,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-06-30,10058.76953125,nasdaq,0.1774599913393987,1.4556024163598729,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-07-01,10154.6298828125,nasdaq,0.06037992817606123,1.3903604272724934,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-07-02,10207.6298828125,nasdaq,-0.455978610149086,0.2094622052037739,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-07-06,10433.650390625,nasdaq,-0.008090002360479888,0.1059777206217509,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-07-07,10343.8896484375,nasdaq,0.3124391777381569,-0.12576387797129818,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-07-08,10492.5,nasdaq,-0.7346344267909306,-0.7938374059545578,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-07-09,10547.75,nasdaq,-1.4114872897626145,-0.3965721714630244,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-07-10,10617.4404296875,nasdaq,1.5440747978589855,-0.49344995031990985,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-07-13,10390.83984375,nasdaq,-0.026150741615568063,0.11733099199606074,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-07-14,10488.580078125,nasdaq,0.5811859457757527,1.2765702213582073,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-07-15,10550.490234375,nasdaq,-0.06692073107117752,-0.40853302990795076,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-07-16,10473.830078125,nasdaq,-0.6735609293595602,-0.04732423640704166,0.0,0.0,0.09730644478916937,0.11360278139939158
2020-07-17,10503.1904296875,nasdaq,1.1772512621441689,0.9093022891925762,0.0,0.0,0.1490866234531526,0.11360278139939158
2020-07-20,10767.08984375,nasdaq,-0.08685243552589625,-0.11976973357385538,0.006252150377482026,0.0,0.09730644478916937,0.11360278139939158
2020-07-21,10680.3603515625,nasdaq,0.27522800296955596,0.5286244432547678,0.0096593413722184,0.0,0.1490866234531526,0.11360278139939158
2020-07-22,10706.1298828125,nasdaq,-0.05154049113840339,-0.3949843585510696,0.014774836023203364,0.0,0.09730644478916937,0.11360278139939158
2020-07-23,10461.419921875,nasdaq,-0.043008768041083306,0.25476259623976966,0.022374579372062057,0.0,0.09730644478916937,0.11360278139939158
2020-07-24,10363.1796875,nasdaq,-0.002389885054434528,0.864034762037191,0.033546262790251184,0.0,0.09730644478916937,0.11360278139939158
2020-07-27,10536.26953125,nasdaq,0.030389331055411528,-1.1978628557241389,0.10647662366679204,0.0,0.1490866234531526,0.11360278139939158
2020-07-28,10402.08984375,nasdaq,0.03904610151856491,-0.20567647741923065,0.1533810679324463,0.0,0.1490866234531526,0.11360278139939158
2020-07-29,10542.9404296875,nasdaq,0.13509974465678629,1.6820857455463736,0.21874911181828852,0.0,0.1490866234531526,0.11360278139939158
2020-07-30,10587.8095703125,nasdaq,0.5744883746759566,-0.865717770589519,0.30887154082367685,0.0,0.1490866234531526,0.11360278139939158
2020-07-31,10745.26953125,nasdaq,0.3501685674639274,0.1627972750693149,0.4317840007633078,0.0,0.1490866234531526,0.11360278139939158
2020-08-03,10902.7998046875,nasdaq,0.5150444297651869,-0.3435840843646136,1.1108996538242306,0.0,0.1490866234531526,0.11360278139939158
2020-08-04,10941.169921875,nasdaq,2.211575273060659,0.10275223041731357,1.4920786069067842,0.0,0.1490866234531526,0.11360278139939158
2020-08-05,10998.400390625,nasdaq,2.1382592500055053,0.2726768946181275,1.9841094744370287,0.0,0.1490866234531526,0.11360278139939158
2020-08-06,11108.0703125,nasdaq,2.5710464639570136,-0.07198946581173611,2.6121409853918234,0.0,0.1490866234531526,0.11360278139939158
2020-08-07,11010.98046875,nasdaq,3.522469661776037,-0.18417302520602954,3.4047454734599345,0.0,0.1490866234531526,0.11360278139939158
2020-08-10,10968.3603515625,nasdaq,6.934181409459209,-0.006540209181677418,7.100535373963698,0.006252150377482026,0.1490866234531526,0.11360278139939158
2020-08-11,10782.8203125,nasdaq,8.825129103637057,-0.4435548901172344,8.892161745938635,0.0096593413722184,0.1490866234531526,0.11360278139939158
2020-08-12,11012.240234375,nasdaq,11.123718930677665,0.12211809380192125,11.025052530448521,0.014774836023203364,0.1490866234531526,0.11360278139939158
2020-08-13,11042.5,nasdaq,13.449901547469231,-0.03363190438095892,13.53352832366127,0.022374579372062057,0.1490866234531526,0.11360278139939158
2020-08-14,11019.2998046875,nasdaq,16.688354928438134,0.09687632735716271,16.44744565771549,0.033546262790251184,0.1490866234531526,0.11360278139939158
2020-08-17,11129.73046875,nasdaq,28.273820120370413,0.2945813229955646,27.803730045319412,0.10647662366679204,0.1490866234531526,0.11360278139939158
